order,family,genus,species,model,GHMI_estimate,GHMI_se,GHMI_tval,GHMI_pval,adj_r2,dev_exp,dev_exp_diff_comp_null,sample_size,model_weight_comp_null,spatial_pval,delta_AIC
Lepidoptera,Geometridae,Scopula,Scopula limboundata,onset,-0.5007897345068023,32.74883262967689,-0.015291834679108171,0.9878861963674621,0.24482751802114855,0.30445431487427554,4.771959982108331e-6,39,0.21069339871392345,0.0017466126935059,2.641501700180868
Lepidoptera,Geometridae,Scopula,Scopula limboundata,offset,67.63757924204785,21.950084338961158,3.0814268500094957,0.0045110779253803805,0.4663227023950258,0.5965467344199417,0.18812305550997765,39,0.8470449370962256,0.08883255276159835,0
Hymenoptera,Vespidae,Vespula,Vespula maculifrons,duration,165.20972501797615,81.21179839081289,2.034306939281689,0.050273660539394825,0.28310614013147095,0.3959315389057537,0.1702637212659037,39,0.21464469014400442,0.2767503973526567,2.5943043646188926
Hymenoptera,Vespidae,Vespula,Vespula maculifrons,onset,-116.6110246580671,82.29347867643038,-1.417014161189732,0.16664850732193445,0.2969037385971278,0.4376482419180961,0.10710192865696122,39,0.12426129963659213,0.2004909417781932,3.905362311185172
Hymenoptera,Vespidae,Vespula,Vespula maculifrons,offset,51.45683971709697,39.683883768125654,1.2966684414701222,0.2032294945061159,-0.027837281788341217,0.05332934799655398,0.04545215542250078,39,0.40003601400325683,0.9969356902947117,0.8106301040253925
Lepidoptera,Pieridae,Phoebis,Phoebis sennae,duration,-10.777694474047038,45.23057796662847,-0.23828336843272085,0.8138231271165106,0.5820486610846889,0.7319520577645843,0.00495283579721828,36,0.09021092365233592,0.004239598225663499,4.622124527764754
Lepidoptera,Pieridae,Phoebis,Phoebis sennae,onset,26.604204477432923,38.771255694122466,0.6861837204170302,0.5002121554892731,0.6780491099901236,0.8096004771722719,0.01150413695772623,36,0.08286174461700009,5.82371220504585e-4,4.808169477393903
Lepidoptera,Pieridae,Phoebis,Phoebis sennae,offset,15.175754938662376,16.004812725969852,0.948199469653136,0.35070529464610734,0.2327462319900988,0.35110194762016145,0.01876872286735609,36,0.26442491053060224,0.09168601325154441,2.046190618126275
Coleoptera,Coccinellidae,Coccinella,Coccinella septempunctata,duration,99.77398843982645,49.20670592028696,2.027650227216116,0.051266447165961286,0.3196610857156883,0.3797077597862949,0.08228647410320616,35,0.6922419166205512,0.004039900519766659,0
Coleoptera,Coccinellidae,Coccinella,Coccinella septempunctata,onset,-14.862520800011959,31.08125318085588,-0.47818280406937863,0.6358752028688287,0.05714349063941937,0.14034324656770492,0.006341082722062602,35,0.22456140335642927,0.11668605178516905,2.478559238065884
Coleoptera,Coccinellidae,Coccinella,Coccinella septempunctata,offset,84.91121980653477,45.40970246996017,1.8698915691576266,0.07096925967576978,0.2899099660902873,0.3525787600765039,0.07303166148918133,35,0.6229442970690284,0.005587289237808435,0
Lepidoptera,Nymphalidae,Euptoieta,Euptoieta claudia,duration,-40.17356075959304,32.946492095489454,-1.2193577587306481,0.23252924302552863,0.28709621865830615,0.373230421593354,0.07159094141246913,34,0.1471449668419592,0.010897847468923916,3.5143426276355285
Lepidoptera,Nymphalidae,Euptoieta,Euptoieta claudia,onset,28.808140817141066,27.391796321163117,1.0517068862286942,0.3016004278890679,0.30077637368523036,0.3841941470751943,0.04986300846848929,34,0.179112481980248,0.007906905771295658,3.0447441891264475
Lepidoptera,Nymphalidae,Euptoieta,Euptoieta claudia,offset,-8.863617801746589,21.676661702686495,-0.4089014223370048,0.6855165413288439,-0.07327437957979788,0.024313248127559615,0.005448246503060496,34,0.21624544794199452,0.7084007190061405,2.575363608735074
Diptera,Syrphidae,Toxomerus,Toxomerus marginatus,duration,-25.76368995737076,72.67015561700637,-0.3545291700371907,0.7255987628216825,0.08842310276816057,0.17668301613579543,0.003704629891363387,32,0.20721656777948444,0.06794588010750136,2.6835712349569008
Diptera,Syrphidae,Toxomerus,Toxomerus marginatus,onset,-5.646215245721257,42.97612273456423,-0.13138028482918956,0.8966419451316252,0.4307917606215027,0.5867790092687473,7.087426157300625e-4,32,0.09512360011981186,0.03624305689832763,4.505242519597289
